tunnel,category,ring,n,density,k_gt,k_off,k_off_sectors,acc
4-5,complex,240,20868,474.2078891506909,19.16862342266934,,,0.11642658913704242
4-5,complex,241,34633,777.2912971236963,16.72585860535089,,,0.1386928860613071
4-5,complex,242,66908,1495.5429204546654,6.958813644512116,,,0.0
4-5,complex,243,142138,3201.8611894966784,16.74957300667317,,,0.19023339184382343
4-5,complex,244,377275,8532.499674469393,10.524742255195138,,,0.6527551613518682
4-5,complex,245,654274,15818.925537298863,13.183559445207472,,,0.21652812338697872
4-5,complex,246,396628,9266.47367791674,6.967958914217855,,,0.4369810317596835
4-5,complex,247,152699,3510.2231703790817,20.359019413749884,,,0.32361888926447346
4-5,complex,248,70847,1571.8142980286927,3.1038498825723444,,,0.4897899763189565
4-5,complex,249,36721,781.352540121215,5.932129988589365,,,0.4521850170261067
4-6,complex,274,189407,3818.8413217776474,3.3324517721600126,,,0.11052619079660869
4-6,complex,275,496436,10910.185796960463,20.24727126114778,,,0.13593844881716818
4-6,complex,276,637006,14616.07147850151,14.080332848959737,,,0.12999758598491815
4-6,complex,277,293890,6711.862886837065,4.274887868405241,,,0.017401318826565072
4-6,complex,278,118215,2615.1993665787395,14.097708770355684,,,0.15015303891560997
4-6,complex,279,56060,1253.4544207830072,20.15045971338963,,,0.17501742244010285
4-6,complex,280,31254,708.2779656866823,16.457521968076918,,,0.0006525143553158169
4-6,complex,281,18340,418.01908673230747,6.894497916871346,,,0.0
4-6,complex,282,11882,266.35941255245285,20.027675854350264,,,0.2526527420976209
4-6,complex,283,7938,165.38619054743435,14.035107141417177,,,0.0
4-7,complex,300,23201,525.6448684155158,20.338667829245484,1.6078931667062548,0.47770230416653897,0.3894136408243376
4-7,complex,301,40083,893.8644474446005,6.934241530964272,0.09920407138211829,0.02947335958832231,0.2532641621113471
4-7,complex,302,75513,1669.90294317047,20.327830450903047,0.20274991762616423,0.060236653047042184,0.45825951967856815
4-7,complex,303,163668,3577.0511897226306,3.04963099596858,0.18493006156999137,0.05494240435302743,0.4527283754615673
4-7,complex,304,430908,9490.960050169491,9.399838641264632,0.009751127600260645,0.0028970432982239522,0.553296868425798
4-7,complex,305,650935,15338.504689052535,6.970948953529894,0.062961620707215,0.018705789606350765,0.48637196344204975
4-7,complex,306,356185,8096.020269534708,16.76197460039415,0.11341140833441088,0.0336943350478321,0.5460754385057174
4-7,complex,307,135120,2999.2998826631556,6.9625539440515904,8.570264846824568,2.5462109979807654,0.0006776789495976281
4-7,complex,308,63681,1365.4948468752314,13.181770506420229,0.2776870799407991,0.08250035554086767,0.2188401769873672
4-7,complex,309,33996,704.7697360878334,15.470143561302864,5.219007047453056,1.550558049286865,0.00552078068504335
